Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Priority,Status,Acquisition_Notes,Link,Search_Query
296,Classical Political Economy,Finance Capital,Hilferding,Rudolf,Finance Capital: A Study of the Latest Phase of Capitalist Development,1910/1981,Routledge,BOOK,CRITICAL,NEEDED,1981 Bottomore translation; Routledge reprint,https://scholar.google.com/scholar?q=Hilferding+Finance+Capital%3A+A+Study+of+the+Latest+Phase+of+Capitalist+Development,Hilferding Finance Capital: A Study of the Latest Phase of Capitalist Development
297,Classical Political Economy,Central Banking,Bagehot,Walter,Lombard Street: A Description of the Money Market,1873,,BOOK,CRITICAL,DOWNLOADED,Public domain; free from Project Gutenberg or Internet Archive; Downloaded 2026-02-26,https://www.gutenberg.org/ebooks/4359,Bagehot Lombard Street: A Description of the Money Market
298,Classical Political Economy,Financialization,Lapavitsas,Costas,Profiting Without Producing: How Finance Exploits Us All,2013,Verso,BOOK,HIGH,NEEDED,Verso or Amazon,https://scholar.google.com/scholar?q=Lapavitsas+Profiting+Without+Producing%3A+How+Finance+Exploits+Us+All,Lapavitsas Profiting Without Producing: How Finance Exploits Us All
299,Classical Political Economy,Money,Itoh,Makoto,Political Economy of Money and Finance,1999,Macmillan,BOOK,HIGH,NEEDED,Co-authored with Lapavitsas; Palgrave reprint,https://scholar.google.com/scholar?q=Itoh+Political+Economy+of+Money+and+Finance,Itoh Political Economy of Money and Finance
300,Classical Political Economy,Money,de Brunhoff,Suzanne,Marx on Money,1976,Urizen Books,BOOK,HIGH,NEEDED,Out of print; Verso reprint or ILL,https://scholar.google.com/scholar?q=de+Brunhoff+Marx+on+Money,de Brunhoff Marx on Money
301,Classical Political Economy,Innovation,Schumpeter,Joseph,The Theory of Economic Development,1911/1934,Harvard UP,BOOK,HIGH,NEEDED,Transaction Publishers reprint; Amazon or library,https://scholar.google.com/scholar?q=Schumpeter+The+Theory+of+Economic+Development,Schumpeter The Theory of Economic Development
302,Classical Political Economy,Bullion Debate,Ricardo,David,The High Price of Bullion: A Proof of the Depreciation of Bank Notes,1810,,BOOK,MEDIUM,DOWNLOADED,Public domain; collected works or Online Library of Liberty; Downloaded 2026-02-26,https://oll.libertyfund.org/,Ricardo The High Price of Bullion: A Proof of the Depreciation of Bank Notes
303,Classical Political Economy,Credit,Thornton,Henry,An Enquiry into the Nature and Effects of the Paper Credit of Great Britain,1802,,BOOK,MEDIUM,DOWNLOADED,Public domain; Hayek edited 1939 edition recommended; Downloaded 2026-02-26,https://archive.org/,Thornton An Enquiry into the Nature and Effects of the Paper Credit of Great Britain
304,Classical Political Economy,Banking School,Tooke,Thomas,A History of Prices (6 vols),1838-57,,BOOK,LOW,DOWNLOADED,Public domain; Internet Archive — very large work; Downloaded 2026-02-26,https://archive.org/,Tooke A History of Prices
305,Classical Political Economy,Money,Schumpeter,Joseph,History of Economic Analysis (Part IV on money),1954,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or used; relevant chapters on money and credit,https://scholar.google.com/scholar?q=Schumpeter+History+of+Economic+Analysis,Schumpeter History of Economic Analysis
306,Classical Political Economy,Credit Cycles,Juglar,Clement,Des Crises Commerciales et de leur Retour Periodique (excerpts),1862,,BOOK,LOW,NEEDED,French original; translated excerpts in secondary sources,https://scholar.google.com/scholar?q=Juglar+Des+Crises+Commerciales+et+de+leur+Retour+Periodique,Juglar Des Crises Commerciales et de leur Retour Periodique
307,Classical Political Economy,Banking,Mill,John Stuart,Principles of Political Economy (Book III Ch. XI-XII on credit),1848,,BOOK,MEDIUM,DOWNLOADED,Public domain; Liberty Fund or marxists.org; Downloaded 2026-02-26,https://oll.libertyfund.org/,Mill Principles of Political Economy
308,Classical Political Economy,Finance Capital,Sweezy,Paul,The Theory of Capitalist Development (Ch. on finance capital),1942,Monthly Review Press,BOOK,MEDIUM,NEEDED,Monthly Review Press or used,https://scholar.google.com/scholar?q=Sweezy+The+Theory+of+Capitalist+Development,Sweezy The Theory of Capitalist Development
309,Classical Political Economy,Money,Ingham,Geoffrey,The Nature of Money,2004,Polity,BOOK,MEDIUM,NEEDED,Polity or Amazon,https://scholar.google.com/scholar?q=Ingham+The+Nature+of+Money,Ingham The Nature of Money
310,Endogenous Money Theory,Core,Moore,Basil,Horizontalists and Verticalists: The Macroeconomics of Credit Money,1988,Cambridge UP,BOOK,CRITICAL,NEEDED,Cambridge UP; out of print — ILL or used,https://www.cambridge.org/,Moore Horizontalists and Verticalists: The Macroeconomics of Credit Money
311,Endogenous Money Theory,Core,Godley,Heterodox Economics Library,Monetary Economics: An Integrated Approach to Credit Money Income Production and Wealth,2007,Palgrave Macmillan,BOOK,CRITICAL,NEEDED,Co-authored with Lavoie; Palgrave or Amazon,https://scholar.google.com/scholar?q=Godley+Monetary+Economics%3A+An+Integrated+Approach+to+Credit+Money+Income+Production,Godley Monetary Economics: An Integrated Approach to Credit Money Income Production
312,Endogenous Money Theory,Textbook,Lavoie,Marc,Post-Keynesian Economics: New Foundations,2014,Edward Elgar,BOOK,HIGH,NEEDED,Edward Elgar or Amazon,https://scholar.google.com/scholar?q=Lavoie+Post-Keynesian+Economics%3A+New+Foundations,Lavoie Post-Keynesian Economics: New Foundations
313,Endogenous Money Theory,Core,Wray,L. Randall,Money and Credit in Capitalist Economies: The Endogenous Money Approach,1990,Edward Elgar,BOOK,HIGH,NEEDED,Out of print; ILL or used,https://scholar.google.com/scholar?q=Wray+Money+and+Credit+in+Capitalist+Economies%3A+The+Endogenous+Money+Approach,Wray Money and Credit in Capitalist Economies: The Endogenous Money Approach
314,Endogenous Money Theory,Modern Money,Wray,L. Randall,Understanding Modern Money: The Key to Full Employment and Price Stability,1998,Edward Elgar,BOOK,HIGH,NEEDED,Edward Elgar or Amazon,https://scholar.google.com/scholar?q=Wray+Understanding+Modern+Money%3A+The+Key+to+Full+Employment+and+Price+Stability,Wray Understanding Modern Money: The Key to Full Employment and Price Stability
315,Endogenous Money Theory,Central Bank,McLeay,Michael,Money Creation in the Modern Economy (BoE Quarterly Bulletin),2014,Bank of England,ARTICLE,HIGH,DOWNLOADED,Free from BoE; Downloaded 2026-02-26,https://www.bankofengland.co.uk/quarterly-bulletin/2014/q1/money-creation-in-the-modern-economy,McLeay Money Creation in the Modern Economy
316,Endogenous Money Theory,Central Bank,Jakab,Zoltan,Banks Are Not Intermediaries of Loanable Funds — Facts Theory and Evidence (BoE WP 529),2015,Bank of England,WORKING_PAPER,HIGH,NEEDED,Free from BoE; co-authored with Kumhof,https://www.bankofengland.co.uk/working-paper/2015/banks-are-not-intermediaries-of-loanable-funds-facts-theory-and-evidence,Jakab Banks Are Not Intermediaries of Loanable Funds — Facts Theory and Evidence
317,Endogenous Money Theory,Debate,Fontana,Giuseppe,Money Credit and the State: Post-Keynesian Reflections on MMT,2022,,ARTICLE,MEDIUM,NEEDED,Check JPKE or Cambridge Journal of Economics,https://scholar.google.com/scholar?q=Fontana+Money+Credit+and+the+State%3A+Post-Keynesian+Reflections+on+MMT,Fontana Money Credit and the State: Post-Keynesian Reflections on MMT
318,Endogenous Money Theory,Circuitist,Graziani,Augusto,The Monetary Theory of Production,2003,Cambridge UP,BOOK,MEDIUM,NEEDED,Cambridge UP; out of print — ILL,https://www.cambridge.org/,Graziani The Monetary Theory of Production
319,Endogenous Money Theory,Empirical,Werner,Richard A.,New Paradigm in Macroeconomics: Solving the Riddle of Japanese Macroeconomic Policy,2005,Palgrave Macmillan,BOOK,MEDIUM,NEEDED,Palgrave or Amazon,https://scholar.google.com/scholar?q=Werner+New+Paradigm+in+Macroeconomics%3A+Solving+the+Riddle+of+Japanese+Macroeconomic,Werner New Paradigm in Macroeconomics: Solving the Riddle of Japanese Macroeconomic
320,Sociology of Finance Broad,Core,Callon,Michel,The Laws of the Markets,1998,Blackwell,BOOK,CRITICAL,NEEDED,Edited volume; out of print — ILL or used,https://scholar.google.com/scholar?q=Callon+The+Laws+of+the+Markets,Callon The Laws of the Markets
321,Sociology of Finance Broad,Core,MacKenzie,Donald,Do Economists Make Markets? On the Performativity of Economics,2007,Princeton UP,BOOK,CRITICAL,NEEDED,Co-edited with Muniesa & Siu; Princeton UP,https://press.princeton.edu/,MacKenzie Do Economists Make Markets? On the Performativity of Economics
322,Sociology of Finance Broad,Contemporary,Erturk,Ismail,Routledge Companion to Banking Regulation and Reform,2024,Routledge,BOOK,CRITICAL,NEEDED,Co-edited with Gabor; Routledge,https://www.routledge.com/,Erturk Routledge Companion to Banking Regulation and Reform
323,Sociology of Finance Broad,Core,Knorr Cetina,Karin,The Sociology of Financial Markets,2004,Oxford UP,BOOK,HIGH,NEEDED,Co-edited with Preda; Oxford UP,https://scholar.google.com/scholar?q=Knorr+Cetina+The+Sociology+of+Financial+Markets,Knorr Cetina The Sociology of Financial Markets
324,Sociology of Finance Broad,Handbook,Knorr Cetina,Karin,The Oxford Handbook of the Sociology of Finance,2012,Oxford UP,BOOK,HIGH,NEEDED,Co-edited with Preda; Oxford UP,https://scholar.google.com/scholar?q=Knorr+Cetina+The+Oxford+Handbook+of+the+Sociology+of+Finance,Knorr Cetina The Oxford Handbook of the Sociology of Finance
325,Sociology of Finance Broad,Inequality,Fourcade,Marion,The Ordinal Society,2024,Harvard UP,BOOK,HIGH,NEEDED,Co-authored with Healy; won 2025 Zelizer Award,https://www.hup.harvard.edu/,Fourcade The Ordinal Society
326,Sociology of Finance Broad,Ethnography,Beunza,Daniel,Taking the Floor: Models Models and the Social Organization of Trading,2019,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Beunza Taking the Floor: Models Models and the Social Organization of Trading
327,Sociology of Finance Broad,Ethnography,Zaloom,Caitlin,Out of the Pits: Traders and Technology from Chicago to London,2006,University of Chicago Press,BOOK,HIGH,NEEDED,UChicago Press or Amazon,https://press.uchicago.edu/,Zaloom Out of the Pits: Traders and Technology from Chicago to London
328,Sociology of Finance Broad,Valuation,Muniesa,Fabian,The Provoked Economy: Economic Reality and the Performative Turn,2014,Routledge,BOOK,MEDIUM,NEEDED,Routledge or Amazon,https://scholar.google.com/scholar?q=Muniesa+The+Provoked+Economy%3A+Economic+Reality+and+the+Performative+Turn,Muniesa The Provoked Economy: Economic Reality and the Performative Turn
329,Sociology of Finance Broad,Markets,Abolafia,Mitchel,Making Markets: Opportunism and Restraint on Wall Street,1996,Harvard UP,BOOK,MEDIUM,NEEDED,Harvard UP or used,https://scholar.google.com/scholar?q=Abolafia+Making+Markets%3A+Opportunism+and+Restraint+on+Wall+Street,Abolafia Making Markets: Opportunism and Restraint on Wall Street
330,Sociology of Finance Broad,Risk,Power,Michael,Organized Uncertainty: Designing a World of Risk Management,2007,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP; connects audit culture to financial regulation,https://scholar.google.com/scholar?q=Power+Organized+Uncertainty%3A+Designing+a+World+of+Risk+Management,Power Organized Uncertainty: Designing a World of Risk Management
331,Sociology of Finance Broad,Financial Elites,Davis,Gerald,Managed by the Markets: How Finance Re-Shaped America,2009,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP or Amazon,https://scholar.google.com/scholar?q=Davis+Managed+by+the+Markets%3A+How+Finance+Re-Shaped+America,Davis Managed by the Markets: How Finance Re-Shaped America
332,Law Money Governance,Core,Pistor,Katharina,The Code of Capital: How the Law Creates Wealth and Inequality,2019,Princeton UP,BOOK,CRITICAL,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Pistor The Code of Capital: How the Law Creates Wealth and Inequality
333,Law Money Governance,Core,Desan,Christine,Making Money: Coin Currency and the Coming of Capitalism,2014,Oxford UP,BOOK,CRITICAL,NEEDED,Oxford UP or Amazon,https://global.oup.com/,Desan Making Money: Coin Currency and the Coming of Capitalism
334,Law Money Governance,Fed,Menand,Lev,The Fed Unbound: Central Banking in a Time of Crisis,2022,Columbia Global Reports,BOOK,HIGH,NEEDED,Columbia Global Reports or Amazon,https://scholar.google.com/scholar?q=Menand+The+Fed+Unbound%3A+Central+Banking+in+a+Time+of+Crisis,Menand The Fed Unbound: Central Banking in a Time of Crisis
335,Law Money Governance,Democracy,Desan,Christine,Making Capital Democratic: The Law of Political Economy,2025,,BOOK,HIGH,NEEDED,Recently published; check publisher,https://scholar.google.com/scholar?q=Desan+Making+Capital+Democratic%3A+The+Law+of+Political+Economy,Desan Making Capital Democratic: The Law of Political Economy
336,Law Money Governance,Public Utility,Menand,Lev,Rebuilding Banking Law: Banks as Public Utilities (Yale J Reg),2024,Yale Journal on Regulation,ARTICLE,HIGH,NEEDED,Co-authored with Ricks; Yale Law School repository,https://www.yalejreg.com/,Menand Rebuilding Banking Law: Banks as Public Utilities
337,Law Money Governance,Democratic Accountability,Tucker,Paul,Unelected Power: The Quest for Legitimacy in Central Banking and the Regulatory State,2018,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Tucker Unelected Power: The Quest for Legitimacy in Central Banking and the Regulatory
338,Law Money Governance,Macroprudential,Thiemann,Matthias,Taming the Cycles of Finance? Central Banks and the Macro-Prudential Shift in Financial Regulation,2024,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP,https://www.cambridge.org/,Thiemann Taming the Cycles of Finance? Central Banks and the Macro-Prudential Shift in
339,Law Money Governance,Finance Franchise,Hockett,Regulatory Document Library,The Finance Franchise (Cornell L Rev),2017,Cornell Law Review,ARTICLE,HIGH,NEEDED,Co-authored with Omarova; Cornell Law School repository,https://scholarship.law.cornell.edu/,Hockett The Finance Franchise
340,Law Money Governance,Shadow Banking,Schwarcz,Steven,Regulating Shadow Banking (RFLR),2012,Review of Banking and Financial Law,ARTICLE,MEDIUM,NEEDED,Check BU Law or SSRN,https://papers.ssrn.com/,Schwarcz Regulating Shadow Banking
341,Law Money Governance,Financial Infrastructure,Ricks,Morgan,Money as Infrastructure (Vanderbilt L Rev),2018,Vanderbilt Law Review,ARTICLE,MEDIUM,NEEDED,Vanderbilt Law School repository,https://scholar.google.com/scholar?q=Ricks+Money+as+Infrastructure,Ricks Money as Infrastructure
342,Law Money Governance,Legal Theory,Pistor,Katharina,A Legal Theory of Finance (JCL),2013,Journal of Comparative Law,ARTICLE,MEDIUM,NEEDED,Check SSRN or Columbia Law,https://papers.ssrn.com/,Pistor A Legal Theory of Finance
343,Central Bank Independence,Core,Cukierman,Alex,"Central Bank Strategy, Credibility, and Independence: Theory and Evidence",1992,MIT Press,BOOK,HIGH,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,"Cukierman Central Bank Strategy, Credibility, and Independence: Theory and Evidence"
344,Central Bank Independence,Political Economy,Adolph,Christopher,Bankers Bureaucrats and Central Bank Politics: The Myth of Neutrality,2013,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Adolph Bankers Bureaucrats and Central Bank Politics: The Myth of Neutrality
345,Central Bank Independence,Political Science,Jacobs,Lawrence,Fed Power: How Finance Wins,2016,Oxford UP,BOOK,HIGH,NEEDED,Co-authored with King; Oxford UP,https://global.oup.com/,Jacobs Fed Power: How Finance Wins
346,Central Bank Independence,Empirical,Alesina,Alberto,Central Bank Independence and Macroeconomic Performance (JMCB),1993,Journal of Money Credit and Banking,ARTICLE,HIGH,NEEDED,Co-authored with Summers; JSTOR,https://www.jstor.org/,Alesina Central Bank Independence and Macroeconomic Performance
347,Central Bank Independence,Democratic Theory,Dietsch,Peter,Do Central Banks Serve the People?,2018,Polity,BOOK,MEDIUM,NEEDED,Co-authored with Claveau & Fontan; Polity or Amazon,https://scholar.google.com/scholar?q=Dietsch+Do+Central+Banks+Serve+the+People%3F,Dietsch Do Central Banks Serve the People?
348,Central Bank Independence,Historical,Binder,Sarah,The Myth of Independence: How Congress Governs the Federal Reserve,2017,Princeton UP,BOOK,MEDIUM,NEEDED,Co-authored with Spindel; Princeton UP,https://press.princeton.edu/,Binder The Myth of Independence: How Congress Governs the Federal Reserve
349,Central Bank Independence,Global,Bodea,Cristina,The Political Economy of Central Banking (Oxford Research Encyclopedia),2023,,ARTICLE,MEDIUM,NEEDED,Oxford Research Encyclopedias,https://oxfordre.com/,Bodea The Political Economy of Central Banking
350,Central Bank Independence,Contemporary,Balls,Ed,Central Bank Independence Revisited: After the Financial Crisis What Should a Model Central Bank Look Like?,2018,M-RCBG Working Paper,WORKING_PAPER,MEDIUM,NEEDED,Free from Harvard Kennedy School,https://www.hks.harvard.edu/,Balls Central Bank Independence Revisited: After the Financial Crisis What Should a
351,Financial Market History,Repo,Gorton,Gary,Securitized Banking and the Run on Repo (JFE),2012,Journal of Financial Economics,ARTICLE,CRITICAL,NEEDED,Co-authored with Metrick; ScienceDirect or SSRN,https://www.sciencedirect.com/,Gorton Securitized Banking and the Run on Repo
352,Financial Market History,Treasury,Garbade,Kenneth,Birth of a Market: The U.S. Treasury Securities Market from the Great War to the Great Depression,2012,MIT Press,BOOK,HIGH,NEEDED,MIT Press or Amazon,https://mitpress.mit.edu/,Garbade Birth of a Market: The U.S. Treasury Securities Market from the Great War to
353,Financial Market History,Treasury,Garbade,Kenneth,After the Accord: A History of Federal Reserve Open Market Operations the US Government Securities Market and Treasury Debt Management from 1951 to 1979,2021,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Garbade After the Accord: A History of Federal Reserve Open Market Operations the US
354,Financial Market History,Repo,Copeland,Adam,Key Mechanics of the U.S. Tri-Party Repo Market (work computer EPR),2012,NY Fed Economic Policy Review,ARTICLE,HIGH,DOWNLOADED,Co-authored with Martin & Walker; free from NY Fed; Downloaded 2026-02-26,https://www.newyorkfed.org/,Copeland Key Mechanics of the U.S. Tri-Party Repo Market
355,Financial Market History,Securitization,Coval,Joshua,The Economics of Structured Finance (JEP),2009,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Co-authored with Jurek & Stafford; free from AEA,https://www.aeaweb.org/,Coval The Economics of Structured Finance
356,Financial Market History,Securitization,Keys,Benjamin,Did Securitization Lead to Lax Screening? Evidence from Subprime Loans (QJE),2010,Quarterly Journal of Economics,ARTICLE,HIGH,NEEDED,Oxford Academic or SSRN,https://academic.oup.com/qje,Keys Did Securitization Lead to Lax Screening? Evidence from Subprime Loans
357,Financial Market History,Bank Failure,Duffie,Darrell,How Big Banks Fail and What to Do About It,2011,Princeton UP,BOOK,HIGH,NEEDED,Princeton UP or Amazon,https://press.princeton.edu/,Duffie How Big Banks Fail and What to Do About It
358,Financial Market History,Repo,Krishnamurthy,Arvind,How Debt Markets Have Malfunctioned in the Crisis (JEP),2010,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Co-authored with Vissing-Jorgensen; free from AEA,https://www.aeaweb.org/,Krishnamurthy How Debt Markets Have Malfunctioned in the Crisis
359,Financial Market History,Municipal,Garbade,Kenneth,Fixed Income Analytics,1996,MIT Press,BOOK,MEDIUM,NEEDED,MIT Press; technical reference,https://mitpress.mit.edu/,Garbade Fixed Income Analytics
360,Financial Market History,Derivatives,Stulz,Rene,Risk Management and Derivatives,2003,Thomson,BOOK,MEDIUM,NEEDED,Standard risk management textbook; Amazon or library,https://scholar.google.com/scholar?q=Stulz+Risk+Management+and+Derivatives,Stulz Risk Management and Derivatives
361,Financial Market History,MBS,Fabozzi,Frank,The Handbook of Mortgage-Backed Securities (7th ed),2016,Oxford UP,BOOK,MEDIUM,NEEDED,Oxford UP; comprehensive MBS reference,https://scholar.google.com/scholar?q=Fabozzi+The+Handbook+of+Mortgage-Backed+Securities,Fabozzi The Handbook of Mortgage-Backed Securities
362,Financial Market History,Bond Market,Homer,Sidney,A History of Interest Rates (4th ed),2005,Wiley,BOOK,MEDIUM,NEEDED,Co-authored with Sylla; Wiley or Amazon,https://scholar.google.com/scholar?q=Homer+A+History+of+Interest+Rates,Homer A History of Interest Rates
363,Financial Market History,Repo,Baklanova,Viktoria,The U.S. Bilateral Repo Market: Lessons from a New Survey (OFR Brief),2015,OFR,WORKING_PAPER,MEDIUM,NEEDED,Free from OFR,https://www.financialresearch.gov/,Baklanova The U.S. Bilateral Repo Market: Lessons from a New Survey
364,Banking Consolidation Deregulation,Core,Stiroh,Kevin,Competitive Dynamics of Deregulation: Evidence from U.S. Banking (JMCB),2003,Journal of Money Credit and Banking,ARTICLE,CRITICAL,NEEDED,Co-authored with Strahan; JSTOR,https://www.jstor.org/,Stiroh Competitive Dynamics of Deregulation: Evidence from U.S. Banking
365,Banking Consolidation Deregulation,Core,Jayaratne,Jith,The Finance-Growth Nexus: Evidence from Bank Branch Deregulation (QJE),1996,Quarterly Journal of Economics,ARTICLE,CRITICAL,NEEDED,Co-authored with Strahan; Oxford Academic,https://academic.oup.com/qje,Jayaratne The Finance-Growth Nexus: Evidence from Bank Branch Deregulation
366,Banking Consolidation Deregulation,Political Economy,Kroszner,Randall,What Drives Deregulation? Economics and Politics of the Relaxation of Bank Branching Restrictions (QJE),1999,Quarterly Journal of Economics,ARTICLE,HIGH,NEEDED,Co-authored with Strahan; Oxford Academic,https://academic.oup.com/qje,Kroszner What Drives Deregulation? Economics and Politics of the Relaxation of Bank
367,Banking Consolidation Deregulation,Consolidation,Berger,Allen,The Consolidation of the Financial Services Industry: Causes Consequences and Implications for the Future (JBF),1999,Journal of Banking and Finance,ARTICLE,HIGH,NEEDED,Co-authored with Demsetz & Strahan; ScienceDirect,https://www.sciencedirect.com/,Berger The Consolidation of the Financial Services Industry: Causes Consequences and
368,Banking Consolidation Deregulation,Historical,Calomiris,Charles,U.S. Bank Deregulation in Historical Perspective,2000,Cambridge UP,BOOK,HIGH,NEEDED,Cambridge UP or Amazon,https://www.cambridge.org/,Calomiris U.S. Bank Deregulation in Historical Perspective
369,Banking Consolidation Deregulation,M&A,DeYoung,Regulatory Document Library,Mergers and Acquisitions of Financial Institutions: A Review of the Post-2000 Literature (JFI),2009,Journal of Financial Intermediation,ARTICLE,HIGH,NEEDED,ScienceDirect,https://www.sciencedirect.com/,DeYoung Mergers and Acquisitions of Financial Institutions: A Review of the Post-2000
370,Banking Consolidation Deregulation,Interstate,Amel,Dean,Trends in the Structure of Federally Insured Depository Institutions 1984-2003 (FEDS),2004,FEDS Working Papers,WORKING_PAPER,MEDIUM,NEEDED,Free from Fed,https://www.federalreserve.gov/,Amel Trends in the Structure of Federally Insured Depository Institutions 1984-2003
371,Banking Consolidation Deregulation,Competition,Cetorelli,Nicola,Banking Market Structure Financial Dependence and Growth (JoF),2002,Journal of Finance,ARTICLE,MEDIUM,NEEDED,Wiley Online,https://onlinelibrary.wiley.com/,Cetorelli Banking Market Structure Financial Dependence and Growth
372,Banking Consolidation Deregulation,Riegle-Neal,Johnson,Christian,Interstate Banking and Community Reinvestment Effects,1997,,ARTICLE,LOW,NEEDED,Check banking law journals,https://scholar.google.com/scholar?q=Johnson+Interstate+Banking+and+Community+Reinvestment+Effects,Johnson Interstate Banking and Community Reinvestment Effects
373,Banking Consolidation Deregulation,TBTF,Brewer,Elijah,How Much Did Banks Pay to Become Too-Big-to-Fail? (JFI),2009,Journal of Financial Intermediation,ARTICLE,MEDIUM,NEEDED,Co-authored with Jagtiani; ScienceDirect,https://www.sciencedirect.com/,Brewer How Much Did Banks Pay to Become Too-Big-to-Fail?
374,Banking Consolidation Deregulation,Structure,Adams,Regulatory Document Library,Market Power in Outputs and Inputs: An Empirical Application to Banking,2012,,ARTICLE,LOW,NEEDED,Check FEDS working papers,https://scholar.google.com/scholar?q=Adams+Market+Power+in+Outputs+and+Inputs%3A+An+Empirical+Application+to+Banking,Adams Market Power in Outputs and Inputs: An Empirical Application to Banking
375,Banking Accounting Fair Value,Core,Laux,Christian,Did Fair-Value Accounting Contribute to the Financial Crisis? (JEP),2010,Journal of Economic Perspectives,ARTICLE,HIGH,NEEDED,Co-authored with Leuz; free from AEA,https://www.aeaweb.org/,Laux Did Fair-Value Accounting Contribute to the Financial Crisis?
376,Banking Accounting Fair Value,Regulatory,BCBS,,The Interplay of Accounting and Regulation and Its Impact on Bank Behaviour (WP 28),2015,BCBS,WORKING_PAPER,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/,BCBS The Interplay of Accounting and Regulation and Its Impact on Bank Behaviour
377,Banking Accounting Fair Value,Official,SEC,,Report and Recommendations Pursuant to Section 133 of EESA: Study on Mark-to-Market Accounting,2008,SEC,REPORT,HIGH,DOWNLOADED,Free from SEC; Downloaded 2026-02-26,https://www.sec.gov/,SEC Report and Recommendations Pursuant to Section 133 of EESA: Study on
378,Banking Accounting Fair Value,Theory,Plantin,Guillaume,Marking to Market: Panacea or Pandora's Box? (JoAE),2008,Journal of Accounting and Economics,ARTICLE,HIGH,NEEDED,Co-authored with Sapra & Shin; ScienceDirect,https://www.sciencedirect.com/,Plantin Marking to Market: Panacea or Pandora's Box?
379,Banking Accounting Fair Value,Procyclicality,Borio,Claudio,Fair Value Accounting and Procyclicality (BIS),2008,BIS,ARTICLE,MEDIUM,NEEDED,Free from BIS; co-authored with Tsatsaronis,https://www.bis.org/,Borio Fair Value Accounting and Procyclicality
380,Banking Accounting Fair Value,CECL,Abad,Jorge,Breaking the Feedback Loop: Macroprudential Regulation of Banks' Sovereign Exposures,2018,,WORKING_PAPER,MEDIUM,NEEDED,Check ECB working papers or SSRN,https://papers.ssrn.com/,Abad Breaking the Feedback Loop: Macroprudential Regulation of Banks' Sovereign
381,Banking Accounting Fair Value,Loan Loss,Beatty,Anne,Financial Accounting in the Banking Industry: A Review of the Empirical Literature (JAE),2005,Journal of Accounting and Economics,ARTICLE,MEDIUM,NEEDED,Co-authored with Liao; ScienceDirect,https://www.sciencedirect.com/,Beatty Financial Accounting in the Banking Industry: A Review of the Empirical
382,Banking Accounting Fair Value,IFRS 9,Cohen,Benjamin,Banks and Capital Requirements: Channels of Adjustment (JBF),2016,Journal of Banking and Finance,ARTICLE,MEDIUM,NEEDED,Co-authored with Edwards; ScienceDirect,https://www.sciencedirect.com/,Cohen Banks and Capital Requirements: Channels of Adjustment
383,Fintech Digital Banking,Core,Vives,Xavier,FinTech Competition in Lending: New Players and the Rise of Digital Banking,2025,Wharton School Working Paper,WORKING_PAPER,HIGH,NEEDED,Check Wharton/SSRN,https://papers.ssrn.com/,Vives FinTech Competition in Lending: New Players and the Rise of Digital Banking
384,Fintech Digital Banking,Core,Philippon,Thomas,The Fintech Opportunity (NBER WP 22476),2016,NBER,WORKING_PAPER,HIGH,DOWNLOADED,Free from NBER after embargo; Downloaded 2026-02-26,https://www.nber.org/papers/w22476,Philippon The Fintech Opportunity
385,Fintech Digital Banking,Structure,BIS,,FinTech and Market Structure in Financial Services (CGFS Papers No 65),2019,BIS/CGFS,REPORT,HIGH,DOWNLOADED,Free from BIS; Downloaded 2026-02-26,https://www.bis.org/publ/cgfs65.htm,BIS FinTech and Market Structure in Financial Services
386,Fintech Digital Banking,Competition,Buchak,Greg,Fintech Regulatory Arbitrage and the Rise of Shadow Banks (JFE),2018,Journal of Financial Economics,ARTICLE,HIGH,NEEDED,ScienceDirect or SSRN,https://www.sciencedirect.com/,Buchak Fintech Regulatory Arbitrage and the Rise of Shadow Banks
387,Fintech Digital Banking,Deposits,Erel,Isil,FinTech and Household Resilience to Shocks (JFE),2024,Journal of Financial Economics,ARTICLE,MEDIUM,NEEDED,ScienceDirect,https://www.sciencedirect.com/,Erel FinTech and Household Resilience to Shocks
388,Fintech Digital Banking,CBDC,Brunnermeier,Markus,On the Equivalence of Private and Public Money (JME),2019,Journal of Monetary Economics,ARTICLE,MEDIUM,NEEDED,Co-authored with Niepelt; ScienceDirect,https://www.sciencedirect.com/,Brunnermeier On the Equivalence of Private and Public Money
